[Log] stdout/stderr -> logs\20260602_110340\main_tracking_v9_20260602_110340.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_110340
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=23, hdop=0.6, lat=30.4081127305, lon=104.0886426905
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Laser] start_measurement mode=continuous
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.06s, meas=1, tracks=12, valid=1, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.06s, meas=1, tracks=11, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.07s, meas=1, tracks=11, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.07s, meas=1, tracks=11, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.08s, meas=1, tracks=11, valid=0, master=45
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408111417, lon=104.088635374
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.08s, meas=1, tracks=11, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.08s, meas=1, tracks=11, valid=0, master=45
[LIVE] udp=2.0/s, objs=3.0/s, last_udp=0.30s, meas=2, tracks=8, valid=0, master=45
[LIVE] udp=1.0/s, objs=2.0/s, last_udp=0.95s, meas=2, tracks=9, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.96s, meas=2, tracks=9, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.96s, meas=2, tracks=9, valid=0, master=45
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.15s, meas=1, tracks=5, valid=0, master=45
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.44s, meas=2, tracks=6, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.44s, meas=2, tracks=6, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.45s, meas=2, tracks=6, valid=0, master=45
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.6, lat=30.4081106455, lon=104.08863610033333
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.58s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.58s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.34s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.34s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.34s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.34s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.35s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.35s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=6.36s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=7.36s, meas=1, tracks=7, valid=0, master=45
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.6, lat=30.408110076666667, lon=104.0886362675
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=8.36s, meas=1, tracks=7, valid=0, master=45
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.73s, meas=1, tracks=1, valid=0, master=45
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.74s, meas=1, tracks=1, valid=0, master=45
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.09s, meas=1, tracks=1, valid=0, master=45
[LIVE] udp=5.0/s, objs=8.0/s, last_udp=0.02s, meas=3, tracks=6, valid=0, master=45
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.83s, meas=2, tracks=6, valid=1, master=58
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.77s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.77s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.77s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.77s, meas=1, tracks=7, valid=0, master=58
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408110160166668, lon=104.08863622566666
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.78s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.78s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.16s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.16s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.17s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.17s, meas=1, tracks=7, valid=0, master=58
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.18s, meas=1, tracks=2, valid=0, master=58
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.25s, meas=2, tracks=4, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.25s, meas=2, tracks=4, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.26s, meas=2, tracks=4, valid=0, master=61
[GPS] GGA fix_quality=1, num_sats=27, hdop=0.6, lat=30.4081103585, lon=104.088636379
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.30s, meas=1, tracks=4, valid=1, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.30s, meas=1, tracks=4, valid=1, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.30s, meas=1, tracks=4, valid=1, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.30s, meas=1, tracks=4, valid=1, master=61
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.66s, meas=1, tracks=4, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.67s, meas=1, tracks=4, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.67s, meas=1, tracks=4, valid=0, master=61
