timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age
1779612066.327287,29,two_crossing,MATCH_ACCEPT,2,1,2.445762,-0.275000,2.448560,-0.275000,0.002798,2.659918,0.766612,0.396552,0.191142,29,1,,,,,,,,,
1779612066.326776,29,two_crossing,UI_STATUS_SEND,1,,,,357.551843,0.275000,,,,,,30,0,,1,1,1,300.000000,laser,300.000000,1779612066.191648,0.135127
1779612066.326776,29,two_crossing,UI_STATUS_SEND,2,,,,2.447754,-0.275000,,,,,,30,0,,1,0,1,340.000000,mono,,,
1779612066.389531,30,two_crossing,MATCH_ACCEPT,1,0,357.630208,0.275000,357.622607,0.275000,0.007601,2.829051,0.786034,0.419035,0.198815,30,1,,,,,,,,,
1779612066.389531,30,two_crossing,MATCH_ACCEPT,2,1,2.369792,-0.275000,2.376983,-0.275000,0.007191,2.651599,0.761066,0.391439,0.187782,30,1,,,,,,,,,
1779612066.389531,30,two_crossing,UI_STATUS_SEND,1,,,,357.624700,0.275000,,,,,,31,0,,1,1,1,300.000000,laser,300.000000,1779612066.191648,0.197882
1779612066.389531,30,two_crossing,UI_STATUS_SEND,2,,,,2.374930,-0.275000,,,,,,31,0,,1,0,1,340.000000,mono,,,
1779612066.456890,31,two_crossing,MATCH_ACCEPT,1,0,357.706178,0.275000,357.700262,0.275000,0.005916,2.830386,0.786924,0.419869,0.199381,31,1,,,,,,,,,
1779612066.457403,31,two_crossing,MATCH_ACCEPT,2,1,2.293822,-0.275000,2.299362,-0.275000,0.005540,2.652965,0.761977,0.392269,0.188340,31,1,,,,,,,,,
1779612066.456371,31,two_crossing,UI_STATUS_SEND,1,,,,357.701894,0.275000,,,,,,32,0,,1,1,1,300.000000,laser,300.000000,1779612066.389531,0.066840
1779612066.456371,31,two_crossing,UI_STATUS_SEND,2,,,,2.297778,-0.275000,,,,,,32,0,,1,0,1,340.000000,mono,,,
1779612066.523181,32,two_crossing,MATCH_ACCEPT,1,0,357.782103,0.275000,357.777571,0.275000,0.004532,2.830907,0.787271,0.420281,0.199515,32,1,,,,,,,,,
1779612066.523181,32,two_crossing,MATCH_ACCEPT,2,1,2.217897,-0.275000,2.222096,-0.275000,0.004199,2.653476,0.762317,0.392659,0.188469,32,1,,,,,,,,,
1779612066.523181,32,two_crossing,UI_STATUS_SEND,1,,,,357.778821,0.275000,,,,,,33,0,,1,1,1,300.000000,laser,300.000000,1779612066.389531,0.133650
1779612066.523181,32,two_crossing,UI_STATUS_SEND,2,,,,2.220895,-0.275000,,,,,,33,0,,1,0,1,340.000000,mono,,,
1779612066.593423,33,two_crossing,MATCH_ACCEPT,1,0,357.858073,0.275000,357.858506,0.275000,0.000433,2.836740,0.791160,0.424311,0.201623,33,1,,,,,,,,,
1779612066.593423,33,two_crossing,MATCH_ACCEPT,2,1,2.141927,-0.275000,2.141208,-0.275000,0.000719,2.659187,0.766125,0.396467,0.190481,33,1,,,,,,,,,
1779612066.593423,33,two_crossing,UI_STATUS_SEND,1,,,,357.858386,0.275000,,,,,,34,0,,1,1,1,300.000000,laser,300.000000,1779612066.389531,0.203892
1779612066.593423,33,two_crossing,UI_STATUS_SEND,2,,,,2.141415,-0.275000,,,,,,34,0,,1,0,1,340.000000,mono,,,
1779612066.659154,34,two_crossing,MATCH_ACCEPT,1,0,357.934043,0.275000,357.932942,0.275000,0.001101,2.832269,0.788179,0.421598,0.199629,34,1,,,,,,,,,
1779612066.659154,34,two_crossing,MATCH_ACCEPT,2,1,2.065957,-0.275000,2.066864,-0.275000,0.000907,2.654691,0.763127,0.393820,0.188543,34,1,,,,,,,,,
1779612066.659154,34,two_crossing,UI_STATUS_SEND,1,,,,357.933247,0.275000,,,,,,35,0,,1,1,1,300.000000,laser,300.000000,1779612066.593929,0.065225
1779612066.659154,34,two_crossing,UI_STATUS_SEND,2,,,,2.066604,-0.275000,,,,,,35,0,,1,0,1,340.000000,mono,,,
1779612066.726097,35,two_crossing,MATCH_ACCEPT,1,0,358.009967,0.275000,358.009205,0.275000,0.000762,2.831039,0.787359,0.420785,0.199149,35,1,,,,,,,,,
1779612066.726097,35,two_crossing,MATCH_ACCEPT,2,1,1.990033,-0.275000,1.990655,-0.275000,0.000623,2.653471,0.762314,0.393023,0.188100,35,1,,,,,,,,,
1779612066.726097,35,two_crossing,UI_STATUS_SEND,1,,,,358.009416,0.275000,,,,,,36,0,,1,1,1,300.000000,laser,300.000000,1779612066.593929,0.132168
1779612066.726097,35,two_crossing,UI_STATUS_SEND,2,,,,1.990477,-0.275000,,,,,,36,0,,1,0,1,340.000000,mono,,,
1779612066.792749,36,two_crossing,MATCH_ACCEPT,1,0,358.085938,0.275000,358.085063,0.275000,0.000875,2.829451,0.786301,0.419660,0.198609,36,1,,,,,,,,,
1779612066.792749,36,two_crossing,MATCH_ACCEPT,2,1,1.914063,-0.275000,1.914842,-0.275000,0.000780,2.651921,0.761281,0.391945,0.187604,36,1,,,,,,,,,
1779612066.792749,36,two_crossing,UI_STATUS_SEND,1,,,,358.085304,0.275000,,,,,,37,0,,1,1,1,300.000000,laser,300.000000,1779612066.593929,0.198819
1779612066.792749,36,two_crossing,UI_STATUS_SEND,2,,,,1.914620,-0.275000,,,,,,37,0,,1,0,1,340.000000,mono,,,
1779612066.860266,37,two_crossing,MATCH_ACCEPT,1,0,358.161908,0.275000,358.161956,0.275000,0.000048,2.829632,0.786421,0.419670,0.198789,37,1,,,,,,,,,
1779612066.860266,37,two_crossing,MATCH_ACCEPT,2,1,1.838092,-0.275000,1.837981,-0.275000,0.000111,2.652127,0.761418,0.391961,0.187796,37,1,,,,,,,,,
1779612066.860266,37,two_crossing,UI_STATUS_SEND,1,,,,358.161942,0.275000,,,,,,38,0,,1,1,1,300.000000,laser,300.000000,1779612066.792749,0.067518
1779612066.860266,37,two_crossing,UI_STATUS_SEND,2,,,,1.838013,-0.275000,,,,,,38,0,,1,0,1,340.000000,mono,,,
1779612066.926997,38,two_crossing,MATCH_ACCEPT,1,0,358.237832,0.275000,358.237700,0.275000,0.000132,2.828214,0.785476,0.418637,0.198336,38,1,,,,,,,,,
1779612066.927506,38,two_crossing,MATCH_ACCEPT,2,1,1.762168,-0.275000,1.762271,-0.275000,0.000103,2.650753,0.760502,0.390989,0.187374,38,1,,,,,,,,,
1779612066.926997,38,two_crossing,UI_STATUS_SEND,1,,,,358.237736,0.275000,,,,,,39,0,,1,1,1,300.000000,laser,300.000000,1779612066.792749,0.134249
1779612066.926997,38,two_crossing,UI_STATUS_SEND,2,,,,1.762241,-0.275000,,,,,,39,0,,1,0,1,340.000000,mono,,,
1779612066.992280,39,two_crossing,MATCH_ACCEPT,1,0,358.313802,0.275000,358.311852,0.275000,0.001950,2.824728,0.783152,0.416176,0.197151,39,1,,,,,,,,,
1779612066.992817,39,two_crossing,MATCH_ACCEPT,2,1,1.686198,-0.275000,1.688141,-0.275000,0.001943,2.647362,0.758242,0.388675,0.186256,39,1,,,,,,,,,
1779612066.992280,39,two_crossing,UI_STATUS_SEND,1,,,,358.312387,0.275000,,,,,,40,0,,1,1,1,300.000000,laser,300.000000,1779612066.792749,0.199531
1779612066.992280,39,two_crossing,UI_STATUS_SEND,2,,,,1.687589,-0.275000,,,,,,40,0,,1,0,1,340.000000,mono,,,
1779612067.057102,40,two_crossing,MATCH_ACCEPT,1,0,358.389772,0.275000,358.386026,0.275000,0.003746,2.821661,0.781107,0.413898,0.196231,40,1,,,,,,,,,
1779612067.057759,40,two_crossing,MATCH_ACCEPT,2,1,1.610228,-0.275000,1.613963,-0.275000,0.003735,2.644423,0.756282,0.386557,0.185405,40,1,,,,,,,,,
