timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,map_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,internal_track_id,ui_id,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,is_edge_bbox,visible_ratio
1780380036.145233,,,NEW_TRACK,2843,2,35.790060,19.364375,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380036.144727,,,TargetLost,2840,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380036.402844,,,MATCH_ACCEPT,2841,0,31.506206,16.256875,27.353793,,18.709314,4.822550,6.035589,2.010392,2.547170,1.494508,2,1,,,,,,,,,,,,,,,,,,,,,
1780380036.403349,,,MATCH_ACCEPT,2842,1,23.312868,16.211042,24.200867,,18.814375,2.750616,5.146151,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780380036.402844,,,TargetLost,2840,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380036.402844,,,TargetSwitch,2841,,,,,,,,,,,,,,master_lost,,,,,,,,,,,,,,,,,,,,
1780380036.402844,,,UI_STATUS_SEND,2841,,,,29.165599,209.165599,17.127552,,,,,,3,0,"internal_id=2841,ui_id=860",2841,860,2841,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380037.088424,,,MATCH_ACCEPT,2841,0,30.245774,13.443958,30.705872,,13.541297,0.470282,7.455037,3.369558,7.340140,4.013783,3,3,,,,,,,,,,,,,,,,,,,,,
1780380037.088424,,,UI_STATUS_SEND,2841,,,,30.347168,210.347168,13.455098,,,,,,4,0,"internal_id=2841,ui_id=860",2841,860,2841,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380037.479835,,,MATCH_ACCEPT,2841,0,29.309251,12.586875,30.852790,,12.066860,1.628781,5.162133,1.840955,2.553010,0.836106,4,1,,,,,,,,,,,,,,,,,,,,,
1780380037.479835,,,UI_STATUS_SEND,2841,,,,30.001272,210.001272,12.387782,,,,,,5,0,"internal_id=2841,ui_id=860",2841,860,2841,1,-1,159.930000,mono,,,,,,,,,,,,,
1780380042.541989,,no_packet,TRACK_DELETE,2840,,,,318.366058,,7.585635,,,,642.025436,612.803428,0,50,,,,,,,,,,,,,,,,,,,,,
1780380046.220629,,,BBOX_CLIPPED,,0,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,1020.000,-66.000,1268.000,113.000,1020.000,0.000,1268.000,113.000,1,0.631285
1780380046.220629,,,MATCH_ACCEPT,2842,0,338.833842,14.191042,18.092790,,-11.794923,47.080095,70.799663,45.599308,1102.573754,976.723176,0,47,,,,,,,,,,,,,,,,,,,,,
1780380046.220629,,,TargetLost,2841,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380046.628957,,,MATCH_ACCEPT,2842,0,341.048685,13.920625,336.810928,,14.221222,4.248405,7.033042,2.022028,2.899504,1.189092,1,2,,,,,,,,,,,,,,,,,,,,,
1780380046.628957,,,TRACK_DELETE,2843,,,,35.790060,,19.364375,,,,1401.794814,1401.794814,0,50,,,,,,,,,,,,,,,,,,,,,
1780380046.628957,,,TargetLost,2841,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380047.085240,,,MATCH_REJECT,2842,0,343.691915,13.370625,336.155983,,14.072967,7.568589,6.661636,2.407224,3.733840,2.060888,2,2,,,,,,,,,,,,,,,,,,,,,
1780380047.085240,,,NEW_TRACK,2844,0,343.691915,13.370625,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780380047.085240,,,TargetLost,2841,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780380047.351737,,,MATCH_ACCEPT,2844,0,346.066264,13.077292,343.691915,,13.370625,2.392400,5.796251,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780380047.351737,,,TargetLost,2841,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
