[Log] stdout/stderr -> logs\20260602_111208\main_tracking_v9_20260602_111208.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_111208
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408105668, lon=104.0886395945
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Laser] start_measurement mode=continuous
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.59s, meas=1, tracks=8, valid=1, master=53
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.25s, meas=2, tracks=6, valid=0, master=53
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.25s, meas=2, tracks=6, valid=0, master=53
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.42s, meas=1, tracks=6, valid=0, master=53
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.45s, meas=1, tracks=5, valid=1, master=54
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.45s, meas=1, tracks=5, valid=1, master=54
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.46s, meas=1, tracks=5, valid=1, master=54
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.46s, meas=1, tracks=5, valid=1, master=54
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408102565166665, lon=104.08864177966667
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.05s, meas=1, tracks=5, valid=1, master=54
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.40s, meas=1, tracks=7, valid=0, master=53
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.08s, meas=1, tracks=7, valid=0, master=53
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.08s, meas=2, tracks=8, valid=0, master=53
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.08s, meas=2, tracks=8, valid=0, master=53
