timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780454382.762785,,,BOARD_3,1,0,1707.000,1008.000,1943.000,1484.000,236.000,476.000,1707.000,1008.000,1943.000,1484.000,236.000,476.000,1707.000,1008.000,1943.000,1484.000,1825.000,1246.000,236.000,476.000,0,1.000000,26.430000,19.259157,18.239167
1780454382.989017,,,BOARD_3,1,0,1601.000,1062.000,2065.000,1422.000,464.000,360.000,1601.000,1062.000,2065.000,1422.000,464.000,360.000,1601.000,1062.000,2065.000,1422.000,1833.000,1242.000,464.000,360.000,0,1.000000,13.440000,19.295616,18.257500
1780454382.989017,,,BOARD_3,1,1,1602.000,1061.000,2066.000,1421.000,464.000,360.000,1602.000,1061.000,2066.000,1421.000,464.000,360.000,1602.000,1061.000,2066.000,1421.000,1834.000,1241.000,464.000,360.000,0,1.000000,13.440000,19.300173,18.262083
1780454383.412991,,,BOARD_3,1,0,1748.000,1198.000,1880.000,1290.000,132.000,92.000,1748.000,1198.000,1880.000,1290.000,132.000,92.000,1748.000,1198.000,1880.000,1290.000,1814.000,1244.000,132.000,92.000,0,1.000000,47.250000,19.209027,18.248333
1780454383.938292,,,BOARD_3,1,0,1777.000,1190.000,1909.000,1282.000,132.000,92.000,1777.000,1190.000,1909.000,1282.000,132.000,92.000,1777.000,1190.000,1909.000,1282.000,1843.000,1236.000,132.000,92.000,0,1.000000,47.250000,19.341189,18.285000
1780454384.554936,,,BOARD_3,1,0,1609.000,1065.000,2073.000,1425.000,464.000,360.000,1609.000,1065.000,2073.000,1425.000,464.000,360.000,1609.000,1065.000,2073.000,1425.000,1841.000,1245.000,464.000,360.000,0,1.000000,13.440000,19.332074,18.243750
1780454384.853538,,,BOARD_3,1,0,1642.000,1101.000,2106.000,1461.000,464.000,360.000,1642.000,1101.000,2106.000,1461.000,464.000,360.000,1642.000,1101.000,2106.000,1461.000,1874.000,1281.000,464.000,360.000,0,1.000000,13.440000,19.482465,18.078750
1780454385.147885,,,BOARD_3,1,0,1608.000,1067.000,2072.000,1427.000,464.000,360.000,1608.000,1067.000,2072.000,1427.000,464.000,360.000,1608.000,1067.000,2072.000,1427.000,1840.000,1247.000,464.000,360.000,0,1.000000,13.440000,19.327517,18.234583
1780454385.412398,,,BOARD_3,1,0,1729.000,1021.000,1965.000,1497.000,236.000,476.000,1729.000,1021.000,1965.000,1497.000,236.000,476.000,1729.000,1021.000,1965.000,1497.000,1847.000,1259.000,236.000,476.000,0,1.000000,26.430000,19.359418,18.179583
1780454385.412398,,,BOARD_3,1,1,1730.000,1022.000,1966.000,1498.000,236.000,476.000,1730.000,1022.000,1966.000,1498.000,236.000,476.000,1730.000,1022.000,1966.000,1498.000,1848.000,1260.000,236.000,476.000,0,1.000000,26.430000,19.363975,18.175000
1780454385.682657,,,BOARD_3,1,0,1730.000,1023.000,1966.000,1499.000,236.000,476.000,1730.000,1023.000,1966.000,1499.000,236.000,476.000,1730.000,1023.000,1966.000,1499.000,1848.000,1261.000,236.000,476.000,0,1.000000,26.430000,19.363975,18.170417
1780454385.959195,,,BOARD_3,1,0,1727.000,1026.000,1963.000,1502.000,236.000,476.000,1727.000,1026.000,1963.000,1502.000,236.000,476.000,1727.000,1026.000,1963.000,1502.000,1845.000,1264.000,236.000,476.000,0,1.000000,26.430000,19.350303,18.156667
1780454385.959195,,,BOARD_3,1,1,1727.000,1027.000,1963.000,1503.000,236.000,476.000,1727.000,1027.000,1963.000,1503.000,236.000,476.000,1727.000,1027.000,1963.000,1503.000,1845.000,1265.000,236.000,476.000,0,1.000000,26.430000,19.350303,18.152083
1780454386.200697,,,BOARD_3,1,0,1726.000,1175.000,1974.000,1355.000,248.000,180.000,1726.000,1175.000,1974.000,1355.000,248.000,180.000,1726.000,1175.000,1974.000,1355.000,1850.000,1265.000,248.000,180.000,0,1.000000,25.150000,19.373090,18.152083
